SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526445,INDRAYANI BI,XT,Q,5.00,5.00,5.00,5.00,5.00,5.10,1,1,5.00,
526479,SKY INDUST. ,X ,Q,31.00,31.00,31.00,31.00,31.00,31.00,1,5,155.00,
526481,PHOENIX INT.,XT,Q,13.80,13.85,13.05,13.05,13.05,13.70,10,5020,67809.00,
526492,RISHIROOP   ,X ,Q,35.50,35.50,33.00,34.55,34.00,36.00,25,5158,177940.00,
526500,STR GRE WOO ,XT,Q,10.11,10.11,10.11,10.11,10.11,10.02,2,77,778.00,
526506,SYSTAMATIX C,XT,Q,60.75,60.75,60.75,60.75,60.75,57.95,1,1,60.00,
526508,SHAHISHIP   ,XT,Q,6.76,6.76,6.76,6.76,6.76,7.11,11,3225,21801.00,
526519,ALPINE HSG. ,X ,Q,12.46,12.89,12.46,12.68,12.89,12.46,2,50,634.00,
526521,SANGHI IND. ,B ,Q,55.20,55.70,53.00,53.60,53.00,55.10,74,2629,142394.00,
526538,MAXIMAA SYST,X ,Q,1.86,2.04,1.86,2.00,2.00,1.95,15,15255,28560.00,
526544,SCANP GEOM  ,X ,Q,24.60,24.60,22.45,23.40,23.45,23.90,31,6112,140088.00,
526550,CCHHL       ,T ,Q,3.65,3.65,3.45,3.64,3.64,3.63,15,5663,19628.00,
526568,LONGVIEW TEA,XT,Q,7.22,7.58,6.88,7.58,7.58,7.22,4,146,1037.00,
526582,TPL PLAST   ,B ,Q,101.85,101.85,98.10,98.80,98.70,103.15,21,3566,351331.00,
526586,WIM PLAST LT,X ,Q,417.15,418.90,398.00,399.95,399.95,417.15,363,3800,1539744.00,
526596,LIBERTY SHOE,B ,Q,90.90,91.00,86.10,86.75,86.75,91.40,122,3075,270235.00,
526604,LIPPI SYSTEM,XT,Q,7.43,8.20,7.42,8.20,8.20,7.81,6,2502,18966.00,
526608,ELECTROTHERM,B ,Q,142.10,142.10,132.00,133.90,133.50,144.95,387,11579,1569400.00,
526612,BLUE DART EX,A ,Q,2319.10,2319.10,2210.00,2224.40,2210.00,2273.35,51,154,345044.00,
526614,EXPO GAS    ,X ,Q,4.14,4.14,3.76,3.76,3.76,3.95,3,2001,7524.00,
526616,NAT.PLASTIC ,X ,Q,22.90,24.80,22.10,24.05,24.05,24.20,31,1376,31739.00,
526640,ROYALE MANOR,XT,Q,11.49,11.58,11.11,11.27,11.27,11.10,29,16568,186664.00,
526642,MIRZA INTER ,B ,Q,56.10,56.60,55.00,55.30,55.00,56.85,89,11855,663163.00,
526650,TOURISM FINA,B ,Q,79.50,82.75,76.30,79.15,77.70,79.75,228,368882,29867882.00,
526668,KAMAT HOTELS,B ,Q,31.65,33.20,31.10,31.55,31.60,32.95,176,2207,69873.00,
526687,POLO HOTELS ,XT,Q,4.00,4.00,3.81,3.81,3.81,4.00,4,3395,13010.00,
526705,ELEGANT MARB,XT,Q,177.00,177.00,177.00,177.00,177.00,168.80,1,19,3363.00,
526717,GOPALA POLY.,X ,Q,8.55,8.55,8.55,8.55,8.55,9.00,10,2757,23572.00,
526721,NICCO PARKS ,XT,Q,22.25,23.00,21.25,21.80,21.80,22.25,37,9636,210618.00,
526723,NTC INDUST  ,X ,Q,40.00,43.00,36.45,36.50,36.45,39.95,11,197,7728.00,
526725,SANDESH LTD.,B ,Q,591.00,591.00,570.60,573.65,570.60,597.10,36,213,123308.00,
526727,GARNET CONST,X ,Q,6.05,7.30,6.01,6.91,7.00,6.85,46,2750,18879.00,
526729,GOLDIAM INT.,B ,Q,99.00,99.15,95.80,95.95,96.00,97.45,59,1235,119402.00,
526731,BRIGHT BROS.,X ,Q,54.10,55.00,51.50,55.00,55.00,56.00,20,1558,84496.00,
526737,CORPOR COUR ,X ,Q,12.79,12.79,12.79,12.79,12.79,13.46,1,1,12.00,
526739,NARMADA GEL ,X ,Q,151.85,152.05,148.00,148.90,148.70,155.70,24,1653,249621.00,
526747,P.G.FOILS   ,X ,Q,66.25,66.55,66.25,66.55,66.55,69.60,5,481,32002.00,
526755,VELAN HOTELS,X ,Q,3.78,3.78,3.77,3.77,3.77,3.69,7,1702,6429.00,
526761,HOWARD HOTEL,X ,Q,8.51,8.51,8.51,8.51,8.51,8.11,3,104,885.00,
